Poster Number,Judge #,Clarity,Innovation,Presentation,Total
1,7,0,0,0,0
1,9,0,0,0,0
2,5,0,0,0,0
2,6,0,0,0,0
3,12,0,0,0,0
3,14,0,0,0,0
4,3,0,0,0,0
4,5,0,0,0,0
5,11,0,0,0,0
5,12,0,0,0,0
6,6,0,0,0,0
6,10,0,0,0,0
7,1,0,0,0,0
7,7,0,0,0,0
8,1,0,0,0,0
8,9,0,0,0,0
9,2,0,0,0,0
9,11,0,0,0,0
10,6,0,0,0,0
10,10,0,0,0,0
11,1,0,0,0,0
11,2,0,0,0,0
12,5,0,0,0,0
12,11,0,0,0,0
13,2,0,0,0,0
13,11,0,0,0,0
14,1,0,0,0,0
14,10,0,0,0,0
15,2,0,0,0,0
15,4,0,0,0,0
16,3,0,0,0,0
16,9,0,0,0,0
17,1,0,0,0,0
17,4,0,0,0,0
18,5,0,0,0,0
18,6,0,0,0,0
19,2,0,0,0,0
19,7,0,0,0,0
20,10,0,0,0,0
20,15,0,0,0,0
21,1,0,0,0,0
21,11,0,0,0,0
22,4,0,0,0,0
22,6,0,0,0,0
23,2,0,0,0,0
23,7,0,0,0,0
24,5,0,0,0,0
24,9,0,0,0,0
25,4,0,0,0,0
25,7,0,0,0,0
26,3,0,0,0,0
26,10,0,0,0,0
27,9,0,0,0,0
27,11,0,0,0,0
28,4,0,0,0,0
28,5,0,0,0,0
29,6,0,0,0,0
29,7,0,0,0,0
30,4,0,0,0,0
30,9,0,0,0,0
